index,source,edge,target,edge-comments
1,MMR vaccine,no link between,autism,
2,MMR vaccine and autism,has no,link,
3,MMR vaccine and autism,no link even in,high risk children,
4,high risk children,have,siblings with autism,
5,measles outbreak,affected 14,states,
6,measles outbreak,began in,California,
7,California,where belief is widespread that,vaccines cause autism,
8,vaccines,can cause,autism,
9,JAMA study,is in,Journal of the American Medical Association,
10,JAMA study,"examined insurance claims for 96,000",U.S. children,
11,JAMA study,examined,insurance claims,
12,JAMA study,"examined insurance claims for 96,000 U.S. children born 2001-2007 to look for",MMR vaccine and autism link,
13,lawmakers,in California and elsewhere are increasingly proposing strengthened,vaccination requirements,
14,anti-vaxxer,is,anti-vaccine,
15,anti-vaxxer,has considerable,commitment,
16,anti-vaxxer,has,true-believer cohort,
17,anti-vaxxer,is an effective,opponent of sanity-oriented legislation,of sanity-oriented legislation
18,opponent of sanity-oriented legislation,anti-vaxxer is effective despite,minority views,
19,anti-vaxxer,has,minority views,
